Date,Adj Close,Volume,AVG_Price,RSI,MACD,MACD_Signal,ADX,upperband,middleband,lowerband,Winning_Percent_10Days,Winning,names
2019-03-04,258.160004,2994900,262.43000800000004,55.774052527584686,4.4260592021757645,4.980294363444104,26.312606337424373,265.7740975632949,261.75800180000056,257.7419060367062,,FALSE,C:\Users\Tim\Documents\CrypTech\res\ADBE.csv
2019-03-04,1696.1700440000002,6158000,1690.5850220000002,61.724392411817206,9.957772493267612,4.189174316493412,8.156984579512427,1703.7220709479318,1657.0439940000008,1610.3659170520698,,FALSE,C:\Users\Tim\Documents\CrypTech\res\AMZN.csv
2019-03-04,432.69000199999994,5965400,437.9550015,71.08103853798573,17.33053721757466,17.498075625896316,48.92475552351301,445.2705740077977,435.0959957999995,424.92141759220135,,FALSE,C:\Users\Tim\Documents\CrypTech\res\BA.csv
2019-03-04,167.369995,18869500,165.6349945,63.06153252615211,2.8899782046546534,3.5973879906314137,17.1803273670564,167.75359563486492,163.6079987999997,159.4624019651345,,FALSE,C:\Users\Tim\Documents\CrypTech\res\FB.csv
2019-03-04,1147.800049,1445300,1147.3950195,64.33482340720337,12.122092628834253,10.668134285867612,14.674723636592404,1155.320348527902,1127.9780273999975,1100.6357062720929,,FALSE,C:\Users\Tim\Documents\CrypTech\res\GOOG.csv
2019-03-04,138.479996,8377700,138.66500100000002,66.84053501859407,1.5609710402632118,1.2810611193650856,18.889701379539183,139.3118932122445,137.08999939999927,134.86810558775403,,FALSE,C:\Users\Tim\Documents\CrypTech\res\JNJ.csv
2019-03-04,45.650002,13343600,45.5900005,41.8139462499555,-0.7698113445854986,-0.6474465187774324,29.075957673442893,45.882468484979185,45.20000020000003,44.51753191502087,,FALSE,C:\Users\Tim\Documents\CrypTech\res\KO.csv
2019-03-04,304.690002,1069100,308.2350005,57.69251116042725,5.239754366901252,5.846229960039233,29.681421678546485,311.2019670824561,307.4059997999999,303.6100325175437,,FALSE,C:\Users\Tim\Documents\CrypTech\res\LMT.csv
2019-03-04,81.370003,8130200,81.700001,68.15504177893614,1.493048619852857,1.3353939787091225,29.434776244707734,81.91667491255448,81.13400139999996,80.35132788744544,,FALSE,C:\Users\Tim\Documents\CrypTech\res\MRK.csv
2019-03-04,351.040009,7479800,355.380005,51.722910809072744,7.6454596838532325,9.996883191134334,26.479175973821757,368.5559244197414,358.8600036000005,349.16408278025955,,FALSE,C:\Users\Tim\Documents\CrypTech\res\NFLX.csv
2019-03-04,283.100006,704800,285.3200075,53.917694936448825,4.5840578856459615,5.519819743209128,25.18854220279686,291.03048847276335,286.6759947999998,282.3215011272362,,FALSE,C:\Users\Tim\Documents\CrypTech\res\NOC.csv
2019-03-04,52.040001000000004,14850100,52.354999500000005,60.44882732648749,0.810419870286978,0.9070193700230246,25.43675683799821,52.762699067673104,52.33199980000004,51.90130053232698,,FALSE,C:\Users\Tim\Documents\CrypTech\res\ORCL.csv
2019-03-04,116.16999799999999,4381400,116.3600005,62.58890693058665,1.251259720155943,1.2368019158362888,24.546687644069415,116.49777007441772,115.86600019999999,115.23423032558226,,FALSE,C:\Users\Tim\Documents\CrypTech\res\PEP.csv
2019-03-04,183.699997,2536300,185.095001,61.36561476576986,4.579293884012998,4.9963788778005265,36.35465794166576,187.34762490229193,185.3980009999998,183.44837709770766,,FALSE,C:\Users\Tim\Documents\CrypTech\res\RTN.csv
2019-03-04,107.32,404200,107.66,56.97411046926393,1.116384913504362,1.0964077100011171,15.768922400936829,108.45650413513135,107.48199920000039,106.50749426486942,,FALSE,C:\Users\Tim\Documents\CrypTech\res\SAP.csv
2019-03-04,285.359985,17075600,291.73999000000003,39.243302896075065,-4.758165835923023,-4.468149100353502,17.449679285321135,328.24186328577025,302.5259947999997,276.81012631422914,,FALSE,C:\Users\Tim\Documents\CrypTech\res\TSLA.csv
2019-03-04,80.309998,18089900,80.274998,72.07003157844323,1.7099677827101516,1.4899653421493102,29.454582696797292,80.70505314656664,79.49400040000036,78.28294765343408,,FALSE,C:\Users\Tim\Documents\CrypTech\res\XOM.csv
